sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD
sid216	sid219	69	0.0000	-1.26314e+02	5	0.001	0	1.00000	1.00000
sid216	sid220	82	0.2683	-2.00117e+02	5	5.000	14	0.86506	0.81124
sid216	sid221	85	0.2941	-2.09355e+02	5	4.484	13	0.84777	0.75026
sid216	sid222	69	0.0000	-1.26208e+02	5	0.001	0	1.00000	1.00000
sid216	sid223	83	0.3012	-2.03890e+02	5	4.435	13	0.84374	0.74656
sid216	sid225	82	0.2683	-2.00117e+02	5	5.000	14	0.86506	0.81124
sid216	sid227	84	0.2976	-2.06009e+02	5	4.487	13	0.84777	0.75016
sid216	sid231	84	0.2976	-2.06009e+02	5	4.487	13	0.84777	0.75016
sid216	sid235	69	0.0000	-1.26208e+02	5	0.001	0	1.00000	1.00000
sid216	sid269	82	0.2683	-2.00117e+02	5	5.000	14	0.86506	0.81124
sid216	sid296	81	0.3827	-2.01685e+02	5	1.597	5	0.76084	0.62924
sid216	sid309	83	0.3253	-2.17595e+02	5	5.000	14	0.83146	0.67845
sid216	sid311	85	0.3059	-2.17553e+02	5	5.000	15	0.84722	0.72700
sid216	sid316	81	0.3827	-2.01466e+02	5	1.592	5	0.76084	0.62912
sid216	sid319	83	0.3253	-2.07012e+02	5	4.757	14	0.80547	0.70136
sid216	sid321	78	0.2692	-2.01006e+02	5	5.000	16	0.88203	0.78248
sid216	sid325	81	0.3827	-2.01466e+02	5	1.592	5	0.76084	0.62912
sid218	sid219	86	0.3023	-2.10524e+02	5	4.529	13	0.83824	0.75132
sid218	sid220	93	0.3978	-2.20398e+02	5	2.298	9	0.73958	0.68376
sid218	sid221	75	0.0000	-1.37897e+02	5	0.001	0	1.00000	1.00000
sid218	sid222	86	0.3023	-2.10313e+02	5	4.529	13	0.83824	0.75132
sid218	sid223	74	0.0000	-1.36505e+02	5	0.001	0	1.00000	1.00000
sid218	sid225	93	0.3978	-2.20398e+02	5	2.298	9	0.73958	0.68376
sid218	sid227	76	0.0000	-1.40818e+02	5	0.001	0	1.00000	1.00000
sid218	sid231	76	0.0000	-1.40818e+02	5	0.001	0	1.00000	1.00000
sid218	sid235	86	0.3023	-2.10313e+02	5	4.529	13	0.83824	0.75132
